geracao,media,melhor
0,826.78,880
1,831.96,880
2,837.44,882
3,838.24,888
4,834.96,892
5,838.40,892
6,838.12,896
7,837.24,896
8,841.64,896
9,842.56,896
10,837.72,896
11,839.58,896
12,842.88,896
13,840.98,896
14,839.40,896
15,839.84,896
16,841.16,896
17,840.24,896
18,842.30,900
19,841.34,900
20,842.22,900
21,840.88,900
22,842.68,900
23,841.58,900
24,842.22,900
25,840.30,900
26,842.58,900
27,836.70,900
28,839.74,900
29,843.94,900
30,839.88,900
31,838.40,900
32,839.60,900
33,842.64,900
34,838.72,900
35,841.48,900
36,839.68,900
37,843.88,900
38,836.88,900
39,841.32,900
40,842.26,900
41,841.86,900
42,843.92,900
43,841.86,900
44,840.64,900
45,841.24,900
46,844.78,900
47,839.32,900
48,843.44,900
49,844.64,900
50,839.76,908
51,841.60,908
52,844.74,908
53,842.26,908
54,840.18,908
55,839.80,908
56,843.26,908
57,841.74,908
58,839.84,908
59,844.50,908
60,844.08,908
61,842.72,908
62,842.90,908
63,840.46,908
64,842.18,908
65,846.96,908
66,843.44,908
67,840.14,908
68,841.40,908
69,844.22,908
70,842.42,908
71,842.06,908
72,843.20,908
73,844.18,908
74,841.14,908
75,843.22,908
76,843.46,908
77,843.22,908
78,844.26,908
79,843.48,908
80,841.90,908
81,844.38,908
82,844.12,908
83,842.60,908
84,839.86,908
85,843.26,908
86,844.34,908
87,843.40,908
88,842.38,908
89,841.96,908
90,844.50,908
91,841.88,908
92,840.62,908
93,840.44,908
94,842.12,908
95,840.94,908
96,841.00,908
97,845.52,908
98,842.56,908
99,843.64,908
100,841.82,908
101,841.84,908
102,840.68,908
103,846.20,908
104,843.76,908
105,844.14,908
106,843.00,908
107,843.80,908
108,841.66,908
109,843.46,908
110,844.50,908
111,840.94,908
112,841.12,908
113,845.32,908
114,844.66,908
115,841.54,908
116,845.96,908
117,841.32,908
118,843.82,908
119,845.40,916
120,843.70,916
121,843.30,916
122,846.46,916
123,841.72,916
124,843.12,916
125,841.68,916
126,845.10,916
127,844.32,916
128,843.18,916
129,843.56,916
130,844.36,916
131,840.84,916
132,843.92,916
